road_class_score,surface_quality_score,lanes_numeric,road_length_m,base_speed_kmh,base_time_minutes,surface_penalty,routing_cost,start_lon,start_lat,end_lon,end_lat,centroid_lon,centroid_lat,hour,day_of_week,temperature_c,humidity_pct,precipitation_mm,rain_mm,cloud_cover_pct,wind_speed_kmh,traffic_speed_kmh
0.5,0.5,1.0,29.35424177649416,30,0.0587084835529883,1.1,0.0645793319082871,45.2377933,1.9796463000000004,45.2376598,1.9798754,45.23772655000428,1.9797608500008748,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,17.55
0.5,0.5,1.0,401.8081897023464,30,0.8036163794046927,1.1,0.883978017345162,45.2376598,1.9798754,45.2347706,1.9816787,45.23613163107605,1.980546335189176,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,17.55
0.5,0.5,1.0,330.00925590305604,30,0.660018511806112,1.1,0.7260203629867233,45.2347706,1.9816787,45.231991,1.9815066,45.23339262822845,1.981606162592684,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,17.55
0.5,0.5,1.0,129.5995526673651,30,0.2591991053347302,1.1,0.2851190158682032,45.231991,1.9815066,45.2311474,1.9822826,45.23156991719086,1.9819033841897888,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,17.55
0.5,0.5,1.0,542.0618903048734,30,1.0841237806097468,1.1,1.1925361586707215,45.2376598,1.9798754,45.2347706,1.9816787,45.23655346926053,1.981417687549215,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,17.55
0.5,0.5,1.0,152.20535290449433,30,0.3044107058089886,1.1,0.3348517763898875,45.2347706,1.9816787,45.2338564,1.9806689,45.23428613948356,1.98119401268521,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,17.55
0.7,0.35,1.0,428.3787579738157,40,0.6425681369607236,1.35,0.8674669848969768,45.2323923,1.9874783,45.231109,1.9838292,45.231726757574286,1.985660715062832,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,23.400000000000002
0.7,0.35,1.0,173.4425959747021,40,0.2601638939620531,1.35,0.3512212568487717,45.231109,1.9838292,45.2311474,1.9822826,45.23106956017118,1.9830592449706683,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,23.400000000000002
0.7,0.35,1.0,110.68898046349528,40,0.1660334706952429,1.35,0.2241451854385779,45.2311474,1.9822826,45.2314466,1.9813275,45.23129700003567,1.9818050500031137,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,23.400000000000002
0.7,0.35,1.0,530.8661636313168,40,0.7962992454469752,1.35,1.0750039813534165,45.2314466,1.9813275,45.232603,1.9767629000000004,45.23206676432397,1.9790395149830624,8,1,26.751923076923074,73.38461538461539,0.05961538461538462,0.05961538461538462,54.11538461538461,17.821153846153848,23.400000000000002
