timestamp,temperature_c,humidity_pct,precipitation_mm,rain_mm,cloud_cover_pct,wind_speed_kmh,wind_direction_deg,weather_code,hour,day_of_week,weather_condition
2025-01-01 00:00:00,24.5,80.0,0.0,0.0,1,20.7,73,0,0,2,normal
2025-01-01 01:00:00,24.3,80.0,0.0,0.0,1,19.9,70,0,1,2,normal
2025-01-01 02:00:00,24.2,81.0,0.0,0.0,8,19.6,70,0,2,2,normal
2025-01-01 03:00:00,24.0,81.0,0.0,0.0,14,19.6,70,0,3,2,normal
2025-01-01 04:00:00,24.1,80.0,0.0,0.0,2,16.5,74,0,4,2,normal
2025-01-01 05:00:00,24.1,81.0,0.0,0.0,6,16.4,78,0,5,2,normal
2025-01-01 06:00:00,24.1,81.0,0.0,0.0,5,16.9,76,0,6,2,normal
2025-01-01 07:00:00,25.0,77.0,0.0,0.0,10,18.2,72,0,7,2,normal
2025-01-01 08:00:00,26.5,68.0,0.0,0.0,20,23.2,70,1,8,2,normal
2025-01-01 09:00:00,27.9,60.0,0.0,0.0,45,23.5,66,1,9,2,normal
2025-01-01 10:00:00,29.1,54.0,0.0,0.0,97,23.2,65,3,10,2,cloudy
2025-01-01 11:00:00,29.2,56.0,0.0,0.0,96,23.1,76,3,11,2,cloudy
2025-01-01 12:00:00,29.7,55.0,0.0,0.0,14,23.7,79,0,12,2,normal
2025-01-01 13:00:00,30.0,56.0,0.0,0.0,13,25.6,90,0,13,2,normal
2025-01-01 14:00:00,28.0,64.0,0.0,0.0,0,30.2,95,0,14,2,normal
2025-01-01 15:00:00,28.6,60.0,0.0,0.0,1,28.0,86,0,15,2,normal
2025-01-01 16:00:00,28.0,62.0,0.0,0.0,0,26.5,92,0,16,2,normal
2025-01-01 17:00:00,26.9,69.0,0.0,0.0,0,24.0,87,0,17,2,normal
2025-01-01 18:00:00,25.7,75.0,0.0,0.0,0,22.5,90,0,18,2,normal
2025-01-01 19:00:00,25.2,80.0,0.0,0.0,0,19.9,76,0,19,2,normal
2025-01-01 20:00:00,25.3,82.0,0.0,0.0,7,18.5,82,0,20,2,normal
2025-01-01 21:00:00,25.3,75.0,0.0,0.0,0,19.5,73,0,21,2,normal
2025-01-01 22:00:00,24.9,81.0,0.0,0.0,0,18.6,72,0,22,2,normal
2025-01-01 23:00:00,24.7,80.0,0.0,0.0,0,18.8,70,0,23,2,normal
2025-01-02 00:00:00,24.5,82.0,0.0,0.0,1,18.6,70,0,0,3,normal
2025-01-02 01:00:00,24.2,84.0,0.0,0.0,2,18.6,68,0,1,3,normal
2025-01-02 02:00:00,24.0,85.0,0.0,0.0,7,18.4,67,0,2,3,normal
2025-01-02 03:00:00,23.9,85.0,0.0,0.0,11,18.0,64,0,3,3,normal
2025-01-02 04:00:00,24.1,84.0,0.0,0.0,18,17.3,65,0,4,3,normal
2025-01-02 05:00:00,24.0,85.0,0.0,0.0,16,17.1,69,0,5,3,normal
2025-01-02 06:00:00,23.9,84.0,0.0,0.0,12,16.9,73,0,6,3,normal
2025-01-02 07:00:00,24.9,80.0,0.0,0.0,13,18.3,75,0,7,3,normal
2025-01-02 08:00:00,26.3,71.0,0.0,0.0,17,21.9,73,0,8,3,normal
2025-01-02 09:00:00,27.6,64.0,0.0,0.0,12,22.1,72,0,9,3,normal
2025-01-02 10:00:00,28.7,60.0,0.0,0.0,8,21.9,73,0,10,3,normal
2025-01-02 11:00:00,30.3,51.0,0.0,0.0,31,22.4,69,1,11,3,normal
2025-01-02 12:00:00,31.2,46.0,0.0,0.0,34,22.4,75,1,12,3,normal
2025-01-02 13:00:00,29.8,57.0,0.0,0.0,8,24.7,93,0,13,3,normal
2025-01-02 14:00:00,28.1,63.0,0.0,0.0,0,27.5,96,0,14,3,normal
2025-01-02 15:00:00,28.4,61.0,0.0,0.0,1,26.5,90,0,15,3,normal
2025-01-02 16:00:00,27.4,64.0,0.0,0.0,0,25.7,99,0,16,3,normal
2025-01-02 17:00:00,26.4,72.0,0.0,0.0,0,24.8,91,0,17,3,normal
2025-01-02 18:00:00,25.5,75.0,0.0,0.0,0,22.9,89,0,18,3,normal
2025-01-02 19:00:00,25.3,80.0,0.0,0.0,4,21.2,89,0,19,3,normal
2025-01-02 20:00:00,25.2,79.0,0.0,0.0,8,22.9,79,0,20,3,normal
2025-01-02 21:00:00,25.0,79.0,0.0,0.0,0,23.8,80,0,21,3,normal
2025-01-02 22:00:00,25.0,80.0,0.0,0.0,3,22.9,82,0,22,3,normal
2025-01-02 23:00:00,25.2,78.0,0.0,0.0,8,23.0,81,0,23,3,normal
2025-01-03 00:00:00,25.2,81.0,0.0,0.0,5,22.7,77,0,0,4,normal
2025-01-03 01:00:00,24.8,86.0,0.0,0.0,27,20.7,70,1,1,4,normal
2025-01-03 02:00:00,24.6,88.0,0.0,0.0,50,18.2,63,2,2,4,normal
2025-01-03 03:00:00,24.3,88.0,0.0,0.0,17,17.0,59,0,3,4,normal
2025-01-03 04:00:00,24.3,89.0,0.0,0.0,8,15.3,56,0,4,4,normal
2025-01-03 05:00:00,24.1,90.0,0.0,0.0,10,14.1,59,0,5,4,normal
2025-01-03 06:00:00,23.9,91.0,0.0,0.0,10,14.4,61,0,6,4,normal
2025-01-03 07:00:00,24.8,86.0,0.0,0.0,11,16.7,57,0,7,4,normal
2025-01-03 08:00:00,26.5,76.0,0.0,0.0,9,19.6,54,0,8,4,normal
2025-01-03 09:00:00,28.5,63.0,0.0,0.0,20,24.1,59,1,9,4,normal
